contractor,numero,fase,etapa,hito_semana,bloque,peso_bloque_kg,peso_dossier_kg,total_piezas,estatus,semana_liberacion_dossier,in_contract_scope,contract_group
BAYSA,1.0,1.0,1.0,173.0,PRO_01,309996.32,309996.32,145.0,approved,187.0,True,original
BAYSA,2.0,1.0,1.0,173.0,PRO_02,308947.31,308947.31,100.0,approved,184.0,True,original
BAYSA,3.0,1.0,1.0,173.0,PRO_03,167739.78,167739.78,77.0,approved,181.0,True,original
BAYSA,4.0,1.0,1.0,171.0,PRO_04,348314.9,348314.9,134.0,approved,178.0,True,original
BAYSA,5.0,1.0,1.0,171.0,PRO_05,284503.31,284503.31,91.0,approved,178.0,True,original
BAYSA,6.0,1.0,1.0,171.0,PRO_06,160296.79,160296.79,67.0,approved,178.0,True,original
BAYSA,7.0,1.0,1.0,171.0,PRO_07,114399.11,114399.11,43.0,approved,161.0,True,original
BAYSA,8.0,1.0,1.0,171.0,PRO_08,20557.92,20557.92,13.0,approved,151.0,True,original
BAYSA,9.0,1.0,1.0,170.0,PRO_09,100447.97,100447.97,100.0,approved,167.0,True,original
BAYSA,10.0,1.0,1.0,,PRO_10,24886.4,24886.4,19.0,approved,153.0,True,original
BAYSA,11.0,1.0,1.0,,PRO_11,71270.11,71270.11,43.0,approved,159.0,True,original
BAYSA,12.0,1.0,1.0,173.0,PRO_12,128784.07,128784.07,74.0,approved,181.0,True,original
BAYSA,13.0,1.0,1.0,,PRO_13,86824.94,86824.94,53.0,approved,155.0,True,original
BAYSA,14.0,1.0,1.0,176.0,PRO_13-,160118.94,160118.94,112.0,pending,,True,original
BAYSA,14.0,1.0,1.0,170.0,PRO_14,22068.78,22068.78,12.0,approved,152.0,True,original
BAYSA,15.0,1.0,1.0,170.0,PRO_15,18611.41,18611.41,12.0,approved,152.0,True,original
BAYSA,16.0,1.0,1.0,,PRO_16,95634.42,95634.42,25.0,approved,159.0,True,original
BAYSA,17.0,1.0,1.0,170.0,PRO_17,21050.87,21050.87,12.0,approved,168.0,True,original
BAYSA,18.0,1.0,1.0,170.0,PRO_18,18611.41,18611.41,12.0,approved,152.0,True,original
BAYSA,19.0,1.0,1.0,,PRO_19,95686.83,95686.83,25.0,approved,156.0,True,original
BAYSA,20.0,1.0,1.0,172.0,PRO_20,71686.32,71686.32,74.0,approved,181.0,True,original
BAYSA,21.0,1.0,1.0,172.0,PRO_21,71684.72,71684.72,74.0,approved,180.0,True,original
BAYSA,22.0,1.0,1.0,173.0,PRO_22,76057.21,76057.21,69.0,approved,181.0,True,original
BAYSA,24.0,1.0,1.0,173.0,PRO_23,438772.13,438772.13,2719.0,pending,,True,original
BAYSA,23.0,1.0,1.0,172.0,PRO_24,245682.17,245682.17,69.0,approved,187.0,True,original
BAYSA,24.0,1.0,1.0,,PRO_25,91664.5,91664.5,51.0,approved,163.0,True,original
